Título,Data,Link
Alerta 4435 (Tecnovigilância) - Comunicado da empresa Philips Medical Systems Ltda - Azurion.,13/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4435-tecnovigilancia-comunicado-da-empresa-philips-medical-systems-ltda-azurion-&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6729911&_101_INSTANCE_R6VaZWsQDDzS_type=content
Alerta 4434 (Tecnovigilância) - Comunicado da empresa Biomérieux Brasil Ind. Com. de Prod. Lab. Ltda - Biofire FilmArray Gastrointestinal (GI) Panel.,12/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4434-tecnovigilancia-comunicado-da-empresa-biomerieux-brasil-ind-com-de-prod-lab-ltda-biofire-filmarray-gastrointestinal-gi-panel-&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6729443&_101_INSTANCE_R6VaZWsQDDzS_type=content
Alerta 4433 (Tecnovigilância) - Comunicado da empresa Wama Produtos para Laboratório Ltda - Imunocon FTA-ABS Sifilis.,12/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4433-tecnovigilancia-comunicado-da-empresa-wama-produtos-para-laboratorio-ltda-imunocon-fta-abs-sifilis-&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6729321&_101_INSTANCE_R6VaZWsQDDzS_type=content
Alerta 4432 (Tecnovigilância) - Comunicado da empresa Edwards Lifesciences Comércio de Produtos Médico-Cirúrgicos LTDA - Anel de Anuloplastia Carpentier Edwards PHYSIO II 5200.,12/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4432-tecnovigilancia-comunicado-da-empresa-edwards-lifesciences-comercio-de-produtos-medico-cirurgicos-ltda-anel-de-anuloplastia-carpentier-edw&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6729244&_101_INSTANCE_R6VaZWsQDDzS_type=content
Alerta 4431 (Tecnovigilância) - Comunicado da empresa Medix Brasil Ltda - Medix Brasil Eletrodos Descartáveis para ECG.,11/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4431-tecnovigilancia-comunicado-da-empresa-medix-brasil-ltda-medix-brasil-eletrodos-descartaveis-para-ecg-&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6729002&_101_INSTANCE_R6VaZWsQDDzS_type=content
Alerta 4430 (Tecnovigilância) - Comunicado da empresa Medix Brasil Ltda - Medix Brasil Eletrodos Descartáveis para ECG.,11/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4430-tecnovigilancia-comunicado-da-empresa-medix-brasil-ltda-medix-brasil-eletrodos-descartaveis-para-ecg-&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6728715&_101_INSTANCE_R6VaZWsQDDzS_type=content
Alerta 4429 (Tecnovigilância) - Comunicado da empresa Ortho Clinical Diagnostics do Brasil Produtos para Saúde - Quidel Triage BNP Test.,11/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4429-tecnovigilancia-comunicado-da-empresa-ortho-clinical-diagnostics-do-brasil-produtos-para-saude-quidel-triage-bnp-test-&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6728541&_101_INSTANCE_R6VaZWsQDDzS_type=content
Alerta 4428 (Tecnovigilância) - Comunicado da empresa E. Tamussino & Cia Ltda - Cânula com Alça de Polipectomia.,08/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4428-tecnovigilancia-comunicado-da-empresa-e-tamussino-cia-ltda-canula-com-alca-de-polipectomia-&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6727309&_101_INSTANCE_R6VaZWsQDDzS_type=content
Alerta 4427 (Tecnovigilância) - Comunicado da empresa BioMérieux Brasil Ind. Com. de Prod. Lab. Ltda - Biofire Filmarray Pneumonia Panel.,07/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4427-tecnovigilancia-comunicado-da-empresa-biomerieux-brasil-ind-com-de-prod-lab-ltda-biofire-filmarray-pneumonia-panel-&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6726891&_101_INSTANCE_R6VaZWsQDDzS_type=content
Alerta 4426 (Tecnovigilância) - Comunicado da empresa ST Jude Medical Brasil Ltda - Heartmate 3 - Sistema de Assistência Ventricular Esquerda (10332340428); Heartmate II – Sistema de Assistência ao Ventrículo Esquerdo (10332340448).,06/03/2024,http://antigo.anvisa.gov.br/informacoes-tecnicas13?p_p_id=101_INSTANCE_R6VaZWsQDDzS&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_101_INSTANCE_R6VaZWsQDDzS_groupId=33868&_101_INSTANCE_R6VaZWsQDDzS_urlTitle=alerta-4426-tecnovigilancia-comunicado-da-empresa-st-jude-medical-brasil-ltda-heartmate-3-sistema-de-assistencia-ventricular-esquerda-10332340428-hear&_101_INSTANCE_R6VaZWsQDDzS_struts_action=%2Fasset_publisher%2Fview_content&_101_INSTANCE_R6VaZWsQDDzS_assetEntryId=6726598&_101_INSTANCE_R6VaZWsQDDzS_type=content
