TÃ­tulo,Data,Link
"Ata da Reunião Ordinária Pública nº 19, de 1º de dezembro de 2023",— por Rhana Rheila de Souza Borges — última modificação 03/01/2024 09h42,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-19-de-1o-de-dezembro-de-2023/view
"Ata da Reunião Ordinária Pública nº 17, de 25 de outubro de 2023",— por Ricardo Bouza Sandes Alves — última modificação 22/11/2023 15h32,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-17-de-25-de-outubro-de-2023/view
"Ata da Reunião Ordinária Pública nº 16, de 13 de outubro de 2023",— por Ricardo Bouza Sandes Alves — última modificação 10/11/2023 17h36,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-16-de-13-de-outubro-de-2023/view
"Ata da Reunião Ordinária Pública nº 15, de 27 de setembro de 2023",— por Ricardo Bouza Sandes Alves — última modificação 30/10/2023 15h24,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-15-de-27-de-setembro-de-2023/view
"Ata da Reunião Ordinária Pública nº 14, de 13 de setembro de 2023",— por Ricardo Bouza Sandes Alves — última modificação 17/10/2023 17h57,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-14-de-13-de-setembro-de-2023/view
"Ata da Reunião Ordinária Pública nº 13, de 30 de agosto de 2023",— por Ricardo Bouza Sandes Alves — última modificação 02/10/2023 10h32,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-13-de-30-de-agosto-de-2023/view
"Ata da Reunião Ordinária Pública nº 12, de 16 de agosto de 2023",— por Ricardo Bouza Sandes Alves — última modificação 14/09/2023 10h19,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-12-de-16-de-agosto-de-2023/view
"Ata da Reunião Ordinária Pública nº 11, de 2 de agosto de 2023.pdf",— por Ana Claudia Oliveira — última modificação 01/09/2023 13h03,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-11-de-2-de-agosto-de-2023.pdf/view
"Ata da Reunião Ordinária Pública nº 10, de 19 de julho de 2023",— por Ricardo Bouza Sandes Alves — última modificação 10/08/2023 17h33,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-10-de-19-de-julho-de-2023/view
"Ata da Reunião Ordinária Pública nº 9, de 21 de junho de 2023",— por Ricardo Bouza Sandes Alves — última modificação 18/07/2023 12h27,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-9-de-21-de-junho-de-2023/view
"Ata da Reunião Ordinária Pública nº 8, de 24 de maio de 2023",— por Ricardo Bouza Sandes Alves — última modificação 13/06/2023 17h21,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-8-de-24-de-maio-de-2023/view
"Ata da Reunião Ordinária Pública nº 7, de 10 de maio de 2023",— por Ricardo Bouza Sandes Alves — última modificação 01/06/2023 08h26,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-7-de-10-de-maio-de-2023/view
"Ata da Reunião Ordinária Pública nº 6, de 3 de maio de 2023",— por Ricardo Bouza Sandes Alves — última modificação 25/05/2023 17h11,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-6-de-3-de-maio-de-2023/view
"Ata da Reunião Ordinária Pública nº 5, de 12 de abril de 2023",— por Ricardo Bouza Sandes Alves — última modificação 10/05/2023 18h19,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-5-de-12-de-abril-de-2023/view
"Ata da Reunião Ordinária Pública nº 4, de 29 de março de 2023",— por Ricardo Bouza Sandes Alves — última modificação 18/04/2023 15h36,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-4-de-29-de-marco-de-2023/view
"Ata da Reunião Ordinária Pública nº 3, de 16 de março de 2023",— por Ricardo Bouza Sandes Alves — última modificação 10/04/2023 10h43,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-3-de-16-de-marco-de-2023/view
"Ata da Reunião Ordinária Pública nº 2, de 1º de março de 2023",— por Ricardo Bouza Sandes Alves — última modificação 22/03/2023 07h38,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-2-de-1o-de-marco-de-2023/view
"Ata da Reunião Ordinária Pública nº 1, de 15 de fevereiro de 2023",— por Ricardo Bouza Sandes Alves — última modificação 14/03/2023 08h29,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/atas/2023/ata-da-reuniao-ordinaria-publica-no-1-de-15-de-fevereiro-de-2023/view
