NOME_PRODUTO,EMPRESA_DETENTORA_REGISTRO,#NUM_EXPEDIENTE_PETICAO,NUM_PROCESSO_PETICAO,S_N_PETICAO_PRIMARIA,COD_ASSUNTO_PETICAO,DESC_ASSUNTO_PETICAO,DATA_SITUACAO_ATUAL_PETICAO,DESC_SITUACAO_ATUAL_PETICAO,DESC_TIPO_DOCUMENTO,DESC_AREA_INTERESSE,DESC_FILA_ANALISE,DESC_SUB_FILA_LISTA_ANALISE,DESC_GRUPO_ETAPA_CICLO_ANALISE,DATA_INI_OCORRENCIA_GRP_ETAPA,DATA_FIM_OCORRENCIA_GRP_ETAPA,TEMPO
levofloxacino,17115437000173 - LABORATÓRIO GLOBO SA,222184,25351000079,S,155,GENERICO - Registro de Medicamento,03/18/2019 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Genéricos e Similares,Fila de Análise,2017-12-29,2018-03-13,74
levofloxacino,17115437000173 - LABORATÓRIO GLOBO SA,222184,25351000079,S,155,GENERICO - Registro de Medicamento,03/18/2019 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Genéricos e Similares,Análise em Andamento,2018-03-13,2018-04-19,37
levofloxacino,17115437000173 - LABORATÓRIO GLOBO SA,222184,25351000079,S,155,GENERICO - Registro de Medicamento,03/18/2019 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Genéricos e Similares,Exigência,2018-04-19,2018-08-16,119
levofloxacino,17115437000173 - LABORATÓRIO GLOBO SA,222184,25351000079,S,155,GENERICO - Registro de Medicamento,03/18/2019 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,2018-08-16,2018-10-05,50
levofloxacino,17115437000173 - LABORATÓRIO GLOBO SA,222184,25351000079,S,155,GENERICO - Registro de Medicamento,03/18/2019 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Genéricos e Similares,Análise em Andamento,2018-10-05,2018-10-16,11
levofloxacino,17115437000173 - LABORATÓRIO GLOBO SA,222184,25351000079,S,155,GENERICO - Registro de Medicamento,03/18/2019 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Genéricos e Similares,Exigência,2018-10-16,2018-10-30,14
levofloxacino,17115437000173 - LABORATÓRIO GLOBO SA,222184,25351000079,S,155,GENERICO - Registro de Medicamento,03/18/2019 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,2018-10-30,2019-03-11,132
levofloxacino,17115437000173 - LABORATÓRIO GLOBO SA,222184,25351000079,S,155,GENERICO - Registro de Medicamento,03/18/2019 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Genéricos e Similares,Finalização,2019-03-11,2019-03-18,7
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,1167063,25351022968,N,194,Cancelamento de Registro da Apresentação do Medicamento a Pedido,07/30/2007 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,2005-12-22,2007-07-16,571
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,1167063,25351022968,N,194,Cancelamento de Registro da Apresentação do Medicamento a Pedido,07/30/2007 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,2007-07-16,2007-07-23,7
