


20/07/2021,25351.789868/2021-28,2832478/21-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
26/08/2021,25351.169043/2021-92,3363252/21-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
22/10/2021,25351.581742/2021-15,4170101/21-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
19/11/2021,25351.793830/2021-50,4592325/21-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
26/11/2021,25351.846331/2021-72,4663378/21-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
26/11/2021,25351.846433/2021-98,4663738/21-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
26/11/2021,25351.851435/2021-07,4665194/21-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
26/01/2022,25351.042814/2022-86,0334431/22-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
10/02/2022,25351.071656/2022-71,0506211/22-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
22/02/2022,25351.096021/2022-87,0647324/22-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
23/02/2022,25351.101861/2022-79,0674616/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
22/03/2022,25351.225981/2022-61,1302388/22-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
22/03/2022,25351.228507/2022-91,1309770/22-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
28/03/2022,25351.250013/2022-92,1420570/22-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
06/04/2022,25351.273877/2022-82,1544165/22-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
20/04/2022,25351.500435/2022-14,2479524/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
21/04/2022,25351.501550/2022-14,2488146/22-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
25/04/2022,25351.503091/2022-03,2515600/22-4,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
25/04/2022,25351.503108/2022-14,2516117/22-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/04/2022,25351.514099/2022-97,2553680/22-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
28/04/2022,25351.514888/2022-28,2590113/22-3,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
