Título,Data,Link,Descrição
"Com foco no acesso à saúde de qualidade para todos os brasileiros, ministra Nísia Trindade trabalha em temas estratégicos para o SUS em 2024",13/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/com-foco-no-acesso-a-saude-de-qualidade-para-todos-os-brasileiros-ministra-nisia-trindade-trabalha-em-temas-estrategicos-para-o-sus-em-2024,A semana de 8 a 12 de janeiro no Ministério da Saúde foi marcada por importantes acontecimentos e encontros de grande relevância para o avanço das políticas públicas de saúde.
Biblioteca do Ministério da Saúde celebra 70 anos de história,12/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/biblioteca-do-ministerio-da-saude-celebra-70-anos-de-historia,"Fundada em 1953, mesmo ano de criação da pasta, local preserva memória institucional e atua na promoção de ações de intercâmbio e democratização do acesso à informação em saúde"
Rótulos de medicamentos deverão alertar sobre a presença de substâncias consideradas doping,12/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/rotulos-de-medicamentos-deverao-alertar-sobre-a-presenca-de-substancias-consideradas-doping,"Previsão está em nova lei, sancionada hoje, e busca evitar doping acidental por atletas"
Ministério da Saúde acompanha e apoia estudos da vacina contra a dengue,12/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/ministerio-da-saude-acompanha-e-apoia-estudos-da-vacina-contra-a-dengue,Uma das pesquisas acontece no município de Dourados (MS) e tem como expectativa vacinar 150 mil moradores
"Enem dos Concursos: bloco de educação, saúde, desenvolvimento social e direitos humanos oferece 1.016 vagas",12/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/enem-dos-concursos-bloco-de-educacao-saude-desenvolvimento-social-e-direitos-humanos-oferece-1-016-vagas,"Edital é voltado para instituições como Incra e Funai e ministérios como Povos Indígenas, Saúde e Ciência e Tecnologia"
Ministério da Saúde institui grupo de trabalho para elaboração de um plano de adaptação à mudança do clima,11/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/ministerio-da-saude-institui-grupo-de-trabalho-para-elaboracao-de-um-plano-de-adaptacao-a-mudanca-do-clima,Equipe será composta por todas as secretarias e instituições ligadas à pasta. Objetivo é a definição de uma linha de atuação
Ministério da Saúde entrega 20 toneladas de aventais para cooperativa de reciclagem,11/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/ministerio-da-saude-entrega-20-toneladas-de-aventais-para-cooperativa-de-reciclagem,Material é parte do estoque herdado do governo anterior com mais de 33 milhões de unidades próximas do prazo de validade e vai beneficiar 400 famílias de catadores
Medida do Ministério da Saúde visa ampliar número de serviços que oferecem PrEP e PEP,11/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/medida-do-ministerio-da-saude-visa-ampliar-numero-de-servicos-que-oferecem%20-prep-e-pep,Passo a passo simplificado para cadastro por parte das UDM já está disponível online
Ações do Ministério da Saúde recuperaram 307 crianças Yanomami diagnosticadas com desnutrição,11/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/acoes-do-ministerio-da-saude-recuperaram-307-criancas-yanomami-diagnosticadas-com-desnutricao,Operação de alto risco de profissionais do Ministério resgatou crianças em território com a presença de garimpeiros
"Em visita ao território Yanomami, comitiva do governo detalha ações permanentes de defesa dos povos indígenas",11/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/em-visita-ao-territorio-yanomami-comitiva-do-governo-detalha-acoes-permanentes-de-defesa-dos-povos-indigenas,"Ministras Sonia Guajajara (Povos Indígenas) e Marina Silva (Meio Ambiente) e ministro Silvio Almeida (Direitos Humanos) conduziram missão que ouviu lideranças indígenas e destacou o plano de ação a partir de crédito extraordinário de R$ 1,2 bilhão"
"Ministério da Saúde já distribuiu 2,5 milhões de comprimidos de medicamento contra a Covid-19",10/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/ministerio-da-saude-ja-distribuiu-2-5-milhoes-de-comprimidos-de-medicamento-contra-a-covid-19,Antiviral nirmatrelvir/ritonavir ganhou registro definitivo da Anvisa e está disponível em toda a rede do SUS
Governo lança os editais do Concurso Público Nacional Unificado,10/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/governo-lanca-os-editais-do-concurso-publico-nacional-unificado,"Ministra da Gestão anuncia formato de inscrições, taxas e editais do processo que selecionará, de uma só vez, 6.640 servidores para 21 órgãos públicos federais"
Nova portaria possibilita avanços e colaboração entre instituições,10/01/2024,https://www.gov.br/saude/pt-br/assuntos/noticias/2024/janeiro/nova-portaria-possibilita-avancos-e-colaboracao-entre-instituicoes,"Entre as mudanças, está a inclusão de 18 novos procedimentos na tabela do SUS. Incremento é resultado do empenho entre parceiros da saúde"
