#NUM_EXPEDIENTE_PETICAO,DESC_FILA_ANALISE,DESC_SUB_FILA_LISTA_ANALISE,DESC_GRUPO_ETAPA_CICLO_ANALISE,TEMPO
222184,REGISTRO,Genéricos e Similares,Fila de Análise,74.0
222184,REGISTRO,Genéricos e Similares,Análise em Andamento,37.0
222184,REGISTRO,Genéricos e Similares,Exigência,119.0
222184,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,50.0
222184,REGISTRO,Genéricos e Similares,Análise em Andamento,11.0
222184,REGISTRO,Genéricos e Similares,Exigência,14.0
222184,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,132.0
222184,REGISTRO,Genéricos e Similares,Finalização,7.0
2443231,REGISTRO,Clones,Fila de Análise,17.0
2443231,REGISTRO,Clones,Finalização,10.0
3324123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,81.0
3324123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,9.0
3324123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,12.0
3723131,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,67.0
3723131,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,15.0
3723131,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0.0
3723131,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,6.0
5422144,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,50.0
5422144,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,1.0
5422144,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,21.0
5698127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,55.0
5698127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,20.0
5698127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,0.0
5698127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,12.0
5699125,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,55.0
5699125,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,20.0
5699125,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,0.0
5699125,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,12.0
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,198.0
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,214.0
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,95.0
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,0.0
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,314.0
