#NUM_EXPEDIENTE_PETICAO,DESC_FILA_ANALISE,DESC_SUB_FILA_LISTA_ANALISE,DESC_GRUPO_ETAPA_CICLO_ANALISE,TEMPO
222184,REGISTRO,Genéricos e Similares,Fila de Análise,74
222184,REGISTRO,Genéricos e Similares,Análise em Andamento,37
222184,REGISTRO,Genéricos e Similares,Exigência,119
222184,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,50
222184,REGISTRO,Genéricos e Similares,Análise em Andamento,11
222184,REGISTRO,Genéricos e Similares,Exigência,14
222184,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,132
222184,REGISTRO,Genéricos e Similares,Finalização,7
1167063,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,571
1167063,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,7
1167063,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0
1167063,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,7
1183065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,86
1183065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,4
1183065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Exigência,34
1183065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise de Cumprimento de Exigência,0
1183065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,140
1183065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,13
1183065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0
1183065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise de Cumprimento de Exigência,0
1183065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,7
1199061,PÓS-REGISTRO,Fitoterápicos - Menor complexidade,Fila de Análise,13
1199061,PÓS-REGISTRO,Fitoterápicos - Menor complexidade,Análise em Andamento,2
1199061,PÓS-REGISTRO,Fitoterápicos - Menor complexidade,Finalização,24
1872064,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Fila de Análise,122
1872064,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Análise em Andamento,17
1872064,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Finalização,11
2443231,REGISTRO,Clones,Fila de Análise,17
2443231,REGISTRO,Clones,Finalização,10
3324123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,81
3324123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,9
3324123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,12
3723131,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,67
