URL,Expediente,DataExpediente,NumProtocolo,Processo,Empresa,CNPJ,Assunto,EncontraSeNa,SituacaoAtual,DataInicio
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6967994211/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0636517125/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0828126232/,0828126/23-2,08/08/2023,20230000000747380,25351.512718/2023-90,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10488 -
                        GENÉRICO - Registro de Medicamento - CLONE","GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                        Desde: 13/09/2023",Publicado deferimento,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0927032236/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4226319222/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0886239137/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0815618182/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0262089208/,0262089/20-8,24/01/2020,25352228227202019,25351.280059/2008-88,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10941 - RDC 73/2016 - GENÉRICO - Inclusão de novo fabricante do IFA,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 16/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 20/04/2020.,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676398237/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0375160230/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/823861118/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/7232560217/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/964162109/,964162/10-9,01/12/2010,25352832094201051,25000.024346/94,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 07/06/2011",Revalidação automática,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0268687182/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/7632884218/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0728930234/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0426440191/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3248899198/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0473770199/,0473770/19-9,28/05/2019,25352364142201951,25351.460814/2014-54,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 13/02/2020",Aprovação condicional – ausência de manifestação no prazo legal em 26/02/2020.,13/02/2020
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3335128197/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6238544215/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0483017142/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0341521190/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6968365214/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676237239/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1354173236/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6968990213/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0166124188/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676241237/,0676241/23-7,01/07/2023,20230000000609579,25351.641565/2012-81,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10297 - SIMILAR - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            
                            Enc.: 08/11/2023",Em análise do cumprimento de exigência,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1354177231/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/938559102/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0409039130/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0268684188/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676412236/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676404235/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0958498196/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6238805213/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676362236/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3431466191/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6969560211/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0679310120/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0705799127/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0667313179/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676370237/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676402239/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0612511125/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0667414173/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0402979188/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1973017199/,1973017/19-9,12/08/2019,25352763998201914,25351.623125/2011-21,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 09/09/2019",Petição encerrada,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1666519208/,1666519/20-8,26/05/2020,25352557774202009,25351.623125/2011-21,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11022 - RDC 73/2016 - GENÉRICO - Inclusão de local de fabricação de medicamento de liberação convencional,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 02/06/2020",Mudança implementada,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1022174231/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676416239/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651394193/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651446190/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651499191/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651527190/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651539193/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651666197/,2651666/19-7,30/10/2019,25352918440201974,25351.408222/2009-64,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10953 - RDC 73/2016 - GENÉRICO - Ampliação dos limites de especificação,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651777199/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1195810213/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0886224139/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0814838184/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0998081234/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0391517234/,0391517/23-4,19/04/2023,20230000000352023,25351.240748/2023-99,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"12172 -
                        GQMED – Protocolo de Gerenciamento de Mudanças Pós-registro (PGMP) para vários produtos","GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                        Desde: 19/04/2023",Não anuído,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0971283126/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0973621122/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0514961134/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0076223147/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0253651130/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0118318184/,0118318/18-4,15/02/2018,25352090700201856,25351.073279/2008-57,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 20/02/2018",Revalidação automática,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0898590231/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1216712236/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0493759187/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676368235/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0966319233/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0986256231/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0139156232/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0986315230/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0828120233/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0828123238/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0894736238/,0894736/23-8,24/08/2023,20230000000807603,25351.554333/2023-08,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10488 -
                        GENÉRICO - Registro de Medicamento - CLONE","GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                        Desde: 20/09/2023",Publicado deferimento,25/09/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0268099148/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0142454198/,0142454/19-8,14/02/2019,25352109178201974,25351.471439/2009-28,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            
                            Enc.: 17/02/2020",Petição encerrada,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/7232556219/,7232556/21-9,16/12/2021,25352354578202157,25351.471439/2009-28,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11006 - RDC 73/2016 - SIMILAR - Alteração de razão social do local de fabricação do medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 18/04/2022",Anuído,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4640451221/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4642670220/,,,,,,,-,"- 
                        
                        Enc.:",,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4659896221/,,,,,,,-,"- 
                        
                        Enc.:",,
