URL,Expediente,Processo,DataExpediente,Assunto,EncontraSeNa,SituacaoAtual,DataInicio
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351577996200981/,1171542/23-2,25351.577996/2009-81,26/10/2023,11818 - Relatório Periódico de Avaliação Benefício-Risco,"GFARM - GERÊNCIA DE FARMACOVIGILÂNCIA
                                Desde 26/10/2023",Distribuído para a área responsável,26/10/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351597273201923/,0656118/23-7,25351.597273/2019-23,27/06/2023,10243 - SIMILAR - Histórico de Mudanças do Produto com inclusão de modificação exclusiva HMP,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                                Desde 27/06/2023",Aditado ao processo,27/06/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/250000204649977/,0638574/23-5,25000.020464/9977,22/06/2023,10436 - SIMILAR - Histórico de Mudanças do Produto sem inclusão de modificação exclusiva HMP,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                                Desde 22/06/2023",Aditado ao processo,22/06/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/250000166729395/,1395761/23-9,25000.016672/9395,08/12/2023,11740 - RDC 73/2016 - SIMILAR - Mudança do DIFA sem CADIFA (implementação imediata),"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                                Desde 08/12/2023",Distribuído para a área responsável,08/12/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351125264201175/,0266596/24-4,25351.125264/2011-75,05/03/2024,11739 - RDC 73/2016 - GENÉRICO - Mudança do DIFA sem CADIFA (implementação imediata),"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                                Desde 05/03/2024",Distribuído para a área responsável,05/03/2024
https://consultas.anvisa.gov.br/#/documentos/tecnicos/250000236429930/,0780188/23-3,25000.023642/9930,27/07/2023,10530 - SIMILAR - Notificação de descontinuação temporária de fabricação ou importação,"GIMED - GERÊNCIA DE INSPEÇÃO E FISCALIZAÇÃO SANITÁRIA DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS
                                Desde 03/08/2023",Anuído,03/08/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351575730201079/,1335084/23-6,25351.575730/2010-79,28/11/2023,10434 - GENÉRICO - Histórico de Mudanças do Produto sem inclusão de modificação exclusiva HMP,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                                Desde 28/11/2023",Aditado ao processo,28/11/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351767596200824/,1171246/23-5,25351.767596/2008-24,26/10/2023,10241 - GENÉRICO - Histórico de Mudanças do Produto com inclusão de modificação exclusiva HMP,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                                Desde 26/10/2023",Aditado ao processo,26/10/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351111828200637/,0285528/24-3,25351.111828/2006-37,08/03/2024,108 - GGMED - Certidão de Registro para Exportação de Medicamento (modelo Anvisa),"GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                                Desde 08/03/2024",Certificado emitido,08/03/2024
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351597103201481/,0400619/24-5,25351.597103/2014-81,01/04/2024,1337 - MEDICAMENTO NOVO - Solicitação de Correção de Dados na Base,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                                Desde 01/04/2024",Distribuído para a área responsável,01/04/2024
